item_name,Phono_N,OLD,OLDF,PLD,PLDF,NPhon,NMorph,regularity,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,US.FREQcount,US.CDcount,brookesIMG,corteseIMG,corteseAOA,AoA_Kup_lem,Voice,Nasal,Fricative,Liquid_SV,Bilabials,Labiodentals,Alveolars,Palatals,Velars,Glottals,UK.FREQcount,UK.cbeebies.FREQcount,UK.cbbc.FREQcount,UK.BNC.FREQcount,LogFreq.Zipf.,LogFreqCbeebies.Zipf.,LogFreqCBBC.Zipf.,LogFreqBNC.Zipf.,UK.CDcount,UK.cbeebies.CDcount,UK.cbbc.CDcount,Lg.US.FREQcount,Lg.US.CDcount,Lg.UK.FREQcount,Lg.UK.cbeebies.FREQcount,Lg.UK.cbbc.FREQcount,Lg.UK.BNC.FREQcount,Lg.UK.CDcount,Lg.UK.cbeebies.CDcount,Lg.UK.cbbc.CDcount
posh,13,1.55,7.913,1.4,7.98,3,1,1,4,9,3215,1071.667,822,65,50,4.586206897,1.8,5.96875,11.88,0,0,0,0,1,0,0,0,0,0,3947,62,323,415,4.29,4.03,4.37,3.62,2493,17,212,1.819543936,1.707570176,3.596377144,1.799340549,2.51054501,2.619093331,3.396896449,1.255272505,2.328379603
pure,1,1.4,7.934,1.75,8.597,4,1,0,4,9,6292,2097.333,1204,1271,952,3.172413793,3.7,4.03125,7.95,0,0,0,0,1,0,0,0,0,0,4555,24,221,3394,4.35,3.63,4.21,4.53,3421,24,190,3.104487111,2.979092901,3.658583715,1.397940009,2.346352974,3.530839779,3.534280005,1.397940009,2.281033367
put,17,1.05,8.587,1.05,8.843,3,1,0,3,15,1338,669,574,42251,7840,2.586206897,2.2,2.90625,3.72,0,0,0,0,1,0,0,0,0,0,195594,7489,12825,59635,5.99,6.11,5.97,5.77,37042,2389,3650,4.625847271,3.894371454,5.291357749,3.874481818,4.108091236,4.775508506,4.568706152,3.378397901,3.562411833
range,9,1.65,7.6,1.7,7.477,4,1,0,5,0,11723,2930.75,1621,1161,736,2.931034483,3.5,4.4375,7.11,1,0,0,1,0,0,1,0,0,0,12664,36,385,20427,4.8,3.8,4.45,5.31,8096,28,320,3.065206128,2.867467488,4.102605194,1.568201724,2.586587305,4.310225849,3.908324139,1.462397998,2.506505032
rash,21,1.25,8.166,1,8.324,3,1,1,4,11,5857,1952.333,881,410,291,5.172413793,5.5,3.65625,5.78,1,0,0,1,0,0,1,0,0,0,825,27,58,445,3.61,3.68,3.64,3.65,628,7,48,2.613841822,2.465382851,2.916980047,1.447158031,1.770852012,2.649334859,2.798650645,0.903089987,1.69019608
reach,21,1.45,7.946,1.25,8.502,3,1,1,5,8,9338,2334.5,2799,2903,1993,4,4.3,3.21875,4.89,1,0,0,1,0,0,1,0,0,0,13080,475,1070,8126,4.81,4.91,4.89,4.91,9135,285,696,3.462996612,3.299725154,4.116640946,2.677606953,3.029789471,3.90993026,3.960756091,2.456366033,2.843232778
real,1,1.15,8.618,1.85,7.787,4,1,0,4,14,9421,3140.333,2432,22583,6453,2.517241379,NA,NA,4.95,1,0,0,1,0,0,1,0,0,0,68410,1321,5226,23180,5.53,5.35,5.58,5.36,26374,773,2400,4.353800865,3.809828961,4.835125939,3.121231455,3.7182525,4.365132167,4.421192468,2.888740961,3.38039216
rear,38,1.1,8.434,1,8.947,3,1,0,4,16,9322,3107.333,2630,634,458,4,4.5,3.8125,6.89,1,0,0,1,0,0,1,0,0,0,3468,23,132,2746,4.24,3.61,3.99,4.44,1969,21,107,2.802773725,2.661812686,3.5402043,1.380211242,2.123851641,3.438858659,3.294466226,1.342422681,2.033423755
rent,19,1.2,8.407,1,8.706,4,1,1,4,15,11376,3792,2427,1762,1062,3.931034483,4,4.612903226,8.89,1,0,0,1,0,0,1,0,0,0,6815,1,118,3479,4.53,2.53,3.94,4.54,2809,1,58,3.246252312,3.026533265,3.833529582,0.301029996,2.075546961,3.541579244,3.44870632,0.301029996,1.770852012
rinse,7,1.95,7.876,1.6,8.106,4,1,1,5,0,13656,3414,1454,120,101,4.965517241,4,3.5625,4.95,1,0,0,1,0,0,1,0,0,0,380,46,40,337,3.28,3.9,3.48,3.53,309,27,33,2.08278537,2.008600172,2.580924976,1.672097858,1.612783857,2.5289167,2.491361694,1.447158031,1.531478917
roast,15,1.75,8.117,1.1,9.03,4,1,0,5,4,7580,1895,1123,499,362,5.344827586,5.7,4.129032258,8.5,1,0,0,1,0,0,1,0,0,0,3083,28,214,551,4.18,3.69,4.2,3.74,1312,21,130,2.698970004,2.559906625,3.489114369,1.462397998,2.33243846,2.741939078,3.118264726,1.342422681,2.117271296
saw,20,1.1,8.652,1,9.368,2,1,0,3,15,962,481,409,20527,6419,4.793103448,3.9,2.806451613,5.3585,0,0,1,0,0,0,1,0,0,0,50895,1304,2804,26737,5.4,5.35,5.31,5.42,22794,806,1653,4.312346639,3.807535028,4.706683652,3.115610512,3.447932866,4.427128919,4.357839597,2.906873535,3.218535505
scarce,2,1.95,8.102,1.85,8.385,5,1,0,6,0,7709,1541.8,1136,87,82,2.137931034,3,5.451612903,10.53,0,0,1,0,0,0,1,0,0,0,651,0,22,745,3.51,2.23,3.23,3.87,579,0,20,1.944482672,1.919078092,2.814247596,0,1.361727836,2.872738827,2.763427994,0,1.322219295
scold,5,1.85,8.143,1.7,7.933,5,1,0,5,1,4977,1244.25,677,67,52,5.068965517,3.9,3.9,8.53,0,0,1,0,0,0,1,0,0,0,42,0,2,60,2.33,2.23,2.34,2.78,35,0,2,1.832508913,1.72427587,1.633468456,0,0.477121255,1.785329835,1.556302501,0,0.477121255
sense,14,1.8,8.233,1.2,9.431,4,1,1,5,2,9734,2433.5,1753,6722,3839,2.862068966,2.8,4.387096774,7.32,0,0,1,0,0,0,1,0,0,0,34555,734,1537,21935,5.23,5.1,5.05,5.34,16825,207,1017,3.827563111,3.584331224,4.538523465,2.866287339,3.186956335,4.341157437,4.225980885,2.318063335,3.007747778
shall,12,1.65,7.993,1.25,7.783,3,1,1,5,6,7121,1780.25,1218,9441,3061,1.655172414,2,4.46875,8.42,0,0,1,0,0,0,0,1,0,0,35743,3139,3397,20234,5.25,5.73,5.4,5.3,15780,1480,1829,3.975063996,3.486005186,4.553203151,3.496929648,3.531223375,4.306103209,4.19813452,3.170555059,3.26245109
share,30,1.1,8.021,1,10.032,3,1,0,5,15,9947,2486.75,1798,3545,2346,3.655172414,3.2,2.65625,4.84,0,0,1,0,0,0,0,1,0,0,16904,598,816,13546,4.92,5.01,4.78,5.13,10585,333,584,3.549738731,3.37051309,4.228015175,2.777426822,2.912222057,4.131843131,4.02473189,2.523746467,2.767155866
she,23,1.6,8.784,1,9.436,2,1,1,3,4,3044,1522,754,190377,8126,4.034482759,3.8,2.15625,3.568124,0,0,1,0,0,0,0,1,0,0,524565,12151,43770,380284,6.42,6.32,6.51,6.58,35099,2424,3815,5.27961676,3.90993026,5.719800138,4.084647761,4.641186469,5.580109195,4.545307116,3.384711743,3.581608366
short,8,1.45,8.12,1.5,8.422,4,1,0,5,7,6246,1561.5,1227,4367,2823,4.620689655,4.5,2.9375,4.32,0,0,1,0,0,0,0,1,0,0,26871,303,1362,18652,5.13,4.71,5,5.27,15736,197,942,3.64028263,3.450864692,4.429299991,2.482873584,3.134495856,4.27074869,4.196921945,2.29666519,2.974511693
shout,13,1.55,8.169,1.45,8.07,3,1,1,5,6,5106,1276.5,1021,839,461,5.24137931,3.8,3.09375,4.72,0,0,1,0,0,0,0,1,0,0,5415,621,696,1478,4.43,5.02,4.71,4.17,3832,360,497,2.924279286,2.664641976,3.733678656,2.793790385,2.843232778,3.169968174,3.583538819,2.557507202,2.697229343
show,32,1.25,8.075,1,10.028,2,1,0,4,10,3175,1058.333,936,24906,6630,4.793103448,4,2.90625,6.21,0,0,1,0,0,0,0,1,0,0,119606,7697,13584,26745,5.77,6.12,6,5.42,31381,2110,3352,4.396321421,3.821579028,5.077756597,3.886377907,4.133059643,4.42725884,4.496680618,3.324488233,3.525433553
skate,12,1.7,8.023,1.35,7.959,4,1,1,5,2,8916,2229,1126,301,123,5.896551724,5.9,3.34375,5.37,0,0,1,0,0,0,1,0,0,0,819,206,200,128,3.61,4.55,4.17,3.11,376,64,75,2.480006943,2.093421685,2.913813852,2.315970345,2.303196057,2.11058971,2.57634135,1.812913357,1.880813592
skill,13,1.6,7.844,1.15,8.768,4,1,1,5,5,3701,925.25,597,404,327,2.965517241,2.8,4.25,6.8,0,0,1,0,0,0,1,0,0,0,5036,77,682,3509,4.4,4.12,4.7,4.54,3530,69,456,2.607455023,2.515873844,3.702171951,1.892094603,2.834420704,3.545307116,3.547897718,1.84509804,2.6599162
staff,8,1.85,7.742,1.45,7.916,4,1,0,5,2,6077,1519.25,1145,1632,987,5,4.6,4.451612903,10,0,0,1,0,0,0,1,0,0,0,17945,25,403,22723,4.95,3.65,4.47,5.35,8728,12,284,3.212986185,2.994756945,4.253967663,1.414973348,2.606381365,4.356484781,3.940964493,1.113943352,2.45484486
stay,8,1.35,8.202,1.1,8.078,3,1,1,4,8,5865,1955,1069,26298,6834,3,2.6,2.967741935,4.22,0,0,1,0,0,0,1,0,0,0,49372,1874,5010,12516,5.39,5.5,5.56,5.1,22151,1020,2394,4.419939235,3.834738519,4.693489517,3.273001272,3.699924403,4.097500252,4.345412943,3.009025742,3.379305518
stood,8,1.9,7.911,1.65,7.83,4,1,0,5,2,6392,1598,1114,1315,996,4.172413793,4.3,3.71875,4.39,0,0,1,0,0,0,1,0,0,0,8550,112,348,13265,4.63,4.28,4.41,5.12,6473,91,308,3.119255889,2.998695158,3.932016906,2.053078443,2.542825427,4.122739993,3.811172695,1.963787827,2.489958479
stop,9,1.5,8.151,1.3,8.586,4,1,1,4,5,5682,1894,1091,36071,7421,4.965517241,4.5,2.233333333,2.89,0,0,1,0,0,0,1,0,0,0,71653,3681,9479,15183,5.55,5.8,5.84,5.18,26969,1775,3273,4.557170222,3.87052095,4.855240439,3.566083784,3.976808337,4.181386195,4.430880946,3.249442961,3.515078675
store,10,1.15,7.922,1.1,8.41,4,1,0,5,13,12227,3056.75,1715,4178,2145,4.172413793,5.8,3.21875,4.76,0,0,1,0,0,0,1,0,0,0,8626,225,863,4425,4.63,4.59,4.8,4.64,5443,143,572,3.621072371,3.331629718,3.935859798,2.354108439,2.936513742,3.64601141,3.735918117,2.158362492,2.758154622
stuff,10,1.75,7.074,1.35,7.724,4,1,1,5,4,4832,1208,941,15653,5429,4.655172414,3.6,3.033333333,5,0,0,1,0,0,0,1,0,0,0,49420,1080,6046,7227,5.39,5.26,5.65,4.86,19787,631,2490,4.194625329,3.73479983,4.693911529,3.033825694,3.781539969,3.859018144,4.296401902,2.800717078,3.396373728
swan,10,1.4,8.305,1.55,7.349,4,1,0,4,10,4343,1447.667,753,348,107,6.310344828,6.3,3.258064516,6.31763,0,0,1,0,0,0,1,0,0,0,1940,80,159,1086,3.98,4.14,4.07,4.03,918,22,70,2.542825427,2.033423755,3.288025535,1.908485019,2.204119983,3.036229544,2.963315511,1.361727836,1.851258349
sweat,6,1.7,7.867,1.55,8.537,4,1,0,5,3,6676,1669,931,1115,863,5.620689655,5.8,3.28125,7.26,0,0,1,0,0,0,1,0,0,0,2339,48,332,1355,4.06,3.92,4.39,4.13,1715,23,204,3.047664195,2.936513742,3.369215857,1.69019608,2.522444234,3.13225969,3.234517284,1.380211242,2.311753861
swell,8,1.6,8.452,1.4,8.488,4,1,1,5,5,4031,1007.75,545,1061,570,4.655172414,3.9,4.266666667,7.42,0,0,1,0,0,0,1,0,0,0,840,21,63,588,3.62,3.57,3.67,3.77,647,18,54,3.026124517,2.756636108,2.924795996,1.342422681,1.806179974,2.770115295,2.811575006,1.278753601,1.740362689
swim,11,1.7,8.072,1.5,7.544,4,1,1,4,6,1550,516.667,396,1622,844,6.448275862,5.6,2.586206897,4.17,0,0,1,0,0,0,1,0,0,0,5244,604,1042,1462,4.42,5.01,4.88,4.16,2552,289,424,3.21031852,2.926856709,3.719745493,2.781755375,3.018284308,3.165244326,3.407050815,2.462397998,2.62838893
taste,18,1.6,7.944,1,8.489,4,1,0,5,6,11289,2822.25,2087,2617,1825,4.379310345,4,2.677419355,4.26,0,0,0,0,0,0,1,0,0,0,17833,856,1643,4152,4.95,5.16,5.08,4.62,7812,409,759,3.417969642,3.261500773,4.251248762,2.932980822,3.215901813,3.618361931,3.892817824,2.612783857,2.880813592
test,18,1.25,8.572,1,8.699,4,1,1,4,13,12449,4149.667,1575,4288,2095,5.068965517,5.3,3.4,6.26,0,0,0,0,0,0,1,0,0,0,22923,563,3057,13701,5.06,4.98,5.35,5.13,11227,269,1256,3.632356046,3.321391278,4.3602904,2.751279104,3.485437481,4.136783963,4.050302404,2.431363764,3.099335278
thaw,9,1.75,8.962,1.4,9.042,2,1,0,4,4,2694,898,733,81,59,3.517241379,3.3,4.677419355,8.11,0,0,1,0,0,0,0,0,0,0,375,2,15,240,3.27,2.71,3.07,3.38,320,2,13,1.913813852,1.77815125,2.575187845,0.477121255,1.204119983,2.382017043,2.506505032,0.477121255,1.146128036
thump,10,1.8,6.951,1.5,7.334,4,1,1,5,3,3121,780.25,631,99,55,4.793103448,3.7,3.8125,7.63,0,0,1,0,0,0,0,0,0,0,343,53,24,265,3.23,3.96,3.26,3.42,260,28,22,2,1.748188027,2.536558443,1.73239376,1.397940009,2.424881637,2.416640507,1.462397998,1.361727836
train,11,1.55,8.063,1.05,8.934,4,1,1,5,6,12612,3153,2034,4848,1760,6.344827586,6.3,2.709677419,4,0,0,0,0,0,0,1,0,0,0,19163,2479,803,8096,4.98,5.63,4.77,4.91,7879,613,456,3.685652184,3.245759356,4.282486162,3.394451681,2.905256049,3.908324139,3.896526217,2.788168371,2.6599162
truth,4,1.9,7.287,1.7,7.798,4,1,0,5,0,4617,1154.25,1148,9801,4193,2.931034483,NA,NA,4.42,0,0,0,0,0,0,1,0,0,0,16373,103,1104,8250,4.91,4.25,4.91,4.91,9185,68,690,3.991314698,3.622628426,4.214154786,2.017033339,3.043362278,3.916506587,3.963126441,1.838849091,2.839478047
want,10,1.3,8.511,1.55,8.503,4,1,0,4,12,7165,2388.333,1437,140718,8305,3.379310345,2.4,2.375,4.16,1,0,0,0,0,0,0,0,1,0,337934,8922,25814,57547,6.22,6.18,6.28,5.76,40033,3125,4290,5.14835274,3.919391927,5.528833174,3.950510893,4.411872129,4.760030235,4.602428985,3.494988974,3.632558515
wasp,1,1.65,8.439,1.95,7.845,4,1,0,4,5,2945,981.667,899,73,43,5.931034483,6.5,3.838709677,5.58,1,0,0,0,0,0,0,0,1,0,571,29,189,258,3.45,3.71,4.14,3.41,264,9,57,1.86923172,1.643452676,2.757396029,1.477121255,2.278753601,2.413299764,2.423245874,1,1.763427994
wealth,6,1.95,7.962,1.6,8.5,4,1,0,6,1,7057,1411.4,1355,324,241,4.827586207,4.3,4.451612903,8.76,1,0,0,0,0,0,0,0,1,0,4297,1,41,3832,4.33,2.53,3.49,4.58,2780,1,36,2.511883361,2.383815366,3.633266411,0.301029996,1.62324929,3.583538819,3.444200989,0.301029996,1.568201724
weave,14,1.75,7.989,1.2,8.742,3,1,1,5,3,4583,1145.75,1318,105,96,5.103448276,5.1,4.580645161,9.89,1,0,0,0,0,0,0,0,1,0,807,172,104,330,3.6,4.47,3.89,3.52,605,150,45,2.025305865,1.986771734,2.907411361,2.238046103,2.021189299,2.519827994,2.782472624,2.178976947,1.662757832
went,20,1.2,8.599,1.1,9.03,4,1,1,4,15,7318,2439.333,1146,20987,6677,2.482758621,1.6,2.96875,3.37,1,0,0,0,0,0,0,0,1,0,96802,2126,4407,48338,5.68,5.56,5.51,5.68,29378,1205,2276,4.321971056,3.824646415,4.985888817,3.32776749,3.644241586,4.684297662,4.468037009,3.081347308,3.357363031
whisk,1,1.95,8.051,1.85,7.091,5,1,1,5,0,4303,1075.75,754,29,29,5.689655172,3.9,5.193548387,8.72,1,0,0,0,0,0,0,0,1,0,1340,183,72,225,3.82,4.5,3.73,3.35,677,47,58,1.477121255,1.477121255,3.127428778,2.264817823,1.86332286,2.354108439,2.831229694,1.681241237,1.770852012
wide,32,1.25,8.448,1,8.557,3,1,1,4,13,3915,1305,775,1214,982,4.137931034,4.1,3.65625,5.84,1,0,0,0,0,0,0,0,1,0,10770,469,539,12131,4.73,4.9,4.6,5.08,7229,342,416,3.084576278,2.992553518,4.032256026,2.672097858,2.73239376,4.083932402,3.859138297,2.53529412,2.620136055
width,1,1.9,8.103,1.75,8.774,4,2,1,5,0,2653,663.25,701,35,32,3.586206897,3.4,4.387096774,8.78,1,0,0,0,0,0,0,0,1,0,841,6,101,1153,3.62,3.08,3.87,4.06,646,5,34,1.556302501,1.51851394,2.925312091,0.84509804,2.008600172,3.062205809,2.810904281,0.77815125,1.544068044
wife,13,1.55,8.543,1.5,8.902,3,1,1,4,9,1542,514,465,17795,4811,5.482758621,5.7,3.35483871,5.67,1,0,0,0,0,0,0,0,1,0,28183,90,477,17106,5.15,4.19,4.54,5.23,12292,43,281,4.250322397,3.682325619,4.45000263,1.959041392,2.679427897,4.233173855,4.089657882,1.643452676,2.450249108
will,30,1,8.416,1,8.504,3,1,1,4,16,3517,1172.333,1137,108306,8129,2.724137931,2.6,2.8,7.53,1,0,0,0,0,0,0,0,1,0,717082,12246,44458,254566,6.55,6.32,6.51,6.4,42171,3394,4471,5.034656526,3.910090546,5.855569427,4.088029718,4.64795969,5.405802105,4.625024198,3.530839779,3.650501795
with,13,1.7,8.533,1.45,8.87,3,1,0,4,3,3968,1322.667,734,257465,8351,2.206896552,1.6,2.5625,4.441998,1,0,0,0,0,0,0,0,1,0,1141430,26244,69662,652050,6.75,6.65,6.71,6.81,43756,4328,4681,5.410719886,3.921790486,6.057449663,4.419046577,4.843002173,5.814281565,4.641047539,3.636387586,3.670431409
wolf,1,1.9,8.759,1.85,8.218,4,1,0,4,2,1737,579,691,1034,376,6.379310345,6.7,2.90625,4.5,1,0,0,0,0,0,0,0,1,0,2949,322,714,845,4.17,4.74,4.72,3.92,1104,53,194,3.01494035,2.57634135,3.469822016,2.509202522,2.854306042,2.927370363,3.043362278,1.73239376,2.290034611
worm,10,1.45,8.861,1.45,9.161,3,1,0,4,9,3675,1225,1103,516,271,6.24137931,6.6,2.709677419,3.89,1,0,0,0,0,0,0,0,1,0,1382,280,317,595,3.84,4.68,4.37,3.77,721,104,161,2.713490543,2.434568904,3.14082218,2.44870632,2.50242712,2.77524626,2.858537198,2.021189299,2.209515015
worse,11,1.7,8.199,1.3,9.042,3,1,0,5,4,6592,1648,1501,5002,3252,1.965517241,2.4,3.8125,2.79,1,0,0,0,0,0,0,0,1,0,19988,166,1408,7237,5,4.45,5.01,4.86,12433,140,1029,3.699230503,3.512284063,4.300791068,2.222716471,3.148910993,3.859618579,4.094610863,2.149219113,3.012837225
yawn,15,1.65,7.979,1.3,7.812,3,1,0,4,7,505,168.333,156,51,40,6.413793103,5.2,3.09375,5.3,0,0,0,1,0,0,0,1,0,0,362,120,62,173,3.26,4.31,3.66,3.24,228,51,49,1.716003344,1.612783857,2.559906625,2.08278537,1.799340549,2.240549248,2.359835482,1.716003344,1.698970004
yet,16,1.25,9.08,1.25,10.06,3,1,1,3,13,1536,768,405,17428,6403,1.793103448,1.8,3.5625,6.95705,0,0,0,1,0,0,0,1,0,0,52168,1459,3682,33752,5.41,5.4,5.43,5.53,25019,1043,2208,4.24127247,3.806451323,4.717412512,3.164352856,3.566201719,4.528312379,4.398287305,3.018700499,3.344195716